study_hours,attendance,sleep_hours,internet_usage,assignments_completed,previous_score,exam_score,placement_status
7,100,6,8,2,43.0,91.92,Placed
11,62,8,11,19,92.0,100.0,Placed
8,41,9,1,18,49.0,100.0,Placed
11,89,7,9,14,42.0,100.0,Placed
1,89,9,5,18,91.0,96.83,Placed
6,50,8,11,7,67.0,93.96,Placed
8,70,6,3,12,69.0,94.41,Placed
5,72,4,11,9,53.0,72.34,Placed
4,53,8,4,1,64.0,76.14,Placed
2,55,5,1,10,43.0,45.65,Not Placed
6,50,4,3,18,53.0,67.45,Not Placed
6,72,8,11,8,81.0,98.71,Placed
11,46,5,8,8,80.0,87.65,Placed
1,70,9,2,5,60.0,75.2,Placed
9,100,4,2,9,35.0,90.34,Placed
11,87,8,9,7,37.0,100.0,Placed
6,85,7,5,14,68.0,100.0,Placed
3,86,9,5,5,59.0,90.95,Placed
4,53,5,1,6,64.0,79.73,Placed
11,67,7,6,19,35.0,100.0,Placed
4,92,6,8,16,93.0,100.0,Placed
3,82,9,6,3,52.0,62.93,Not Placed
10,55,9,7,7,67.0,100.0,Placed
3,58,8,4,12,43.0,84.9,Placed
3,56,8,2,13,41.0,51.7,Not Placed
4,98,5,1,17,64.0,100.0,Placed
7,65,9,6,16,47.0,99.44,Placed
4,45,8,9,17,51.0,84.89,Placed
9,82,6,10,13,47.0,93.97,Placed
1,88,8,5,10,47.0,78.6,Placed
8,48,9,2,9,76.0,100.0,Placed
7,89,4,1,12,94.0,100.0,Placed
2,56,7,3,19,72.0,88.1,Placed
8,70,9,4,15,71.0,100.0,Placed
1,51,6,7,13,44.0,74.71,Placed
11,62,9,9,2,48.0,88.24,Placed
9,93,6,8,17,77.0,100.0,Placed
9,93,9,9,5,39.0,97.73,Placed
2,44,7,7,19,70.0,80.29,Placed
7,82,7,10,2,69.0,93.23,Placed
10,75,6,8,18,80.0,100.0,Placed
3,98,9,8,2,79.0,70.79,Placed
7,75,7,1,11,90.0,100.0,Placed
10,42,5,9,7,57.0,80.37,Placed
9,97,9,2,4,39.0,93.24,Placed
4,63,7,11,16,78.0,84.06,Placed
1,94,4,7,9,91.0,95.8,Placed
2,96,4,10,20,62.0,100.0,Placed
1,56,5,10,16,57.0,57.7,Not Placed
5,78,7,5,8,76.0,91.85,Placed
5,65,4,4,12,68.0,91.12,Placed
11,43,9,1,9,65.0,94.57,Placed
7,94,8,1,7,41.0,92.79,Placed
9,84,7,3,6,41.0,100.0,Placed
9,51,5,1,1,38.0,73.55,Placed
3,40,7,8,1,78.0,73.74,Placed
3,60,6,3,3,66.0,68.62,Not Placed
3,58,6,11,8,62.0,43.72,Not Placed
4,60,4,10,13,90.0,95.42,Placed
8,91,6,2,10,38.0,95.62,Placed
6,57,5,6,20,73.0,100.0,Placed
8,82,4,4,6,86.0,100.0,Placed
1,91,5,11,18,79.0,86.76,Placed
8,42,9,11,3,42.0,75.41,Placed
4,100,5,4,1,48.0,75.7,Placed
11,88,6,2,20,64.0,100.0,Placed
1,83,9,2,18,37.0,96.91,Placed
8,71,6,11,20,36.0,96.17,Placed
4,49,5,6,17,44.0,76.87,Placed
6,79,6,5,20,40.0,100.0,Placed
8,54,6,9,6,89.0,100.0,Placed
4,44,6,4,10,41.0,78.35,Placed
3,43,7,5,9,50.0,73.06,Placed
9,97,9,1,10,40.0,95.44,Placed
3,67,9,2,8,50.0,78.99,Placed
9,92,9,3,2,61.0,96.04,Placed
2,91,5,5,4,90.0,83.09,Placed
2,90,8,5,0,46.0,61.41,Not Placed
2,92,5,4,0,56.0,83.56,Placed
6,43,9,10,19,49.0,77.37,Placed
3,54,4,3,4,56.0,61.1,Not Placed
9,56,6,9,18,69.0,100.0,Placed
4,83,6,1,5,94.0,92.14,Placed
1,42,8,6,2,82.0,60.97,Not Placed
4,49,4,7,20,84.0,100.0,Placed
1,86,7,10,12,49.0,73.02,Placed
5,81,5,4,16,57.0,100.0,Placed
4,95,7,10,2,72.0,73.6,Placed
8,62,4,3,2,83.0,98.92,Placed
8,57,8,8,20,36.0,91.79,Placed
7,40,4,9,12,36.0,60.88,Not Placed
3,74,8,1,1,83.0,65.89,Not Placed
1,92,7,11,2,53.0,45.94,Not Placed
1,97,7,10,19,39.0,79.76,Placed
11,70,4,9,15,38.0,100.0,Placed
3,98,4,7,20,62.0,94.64,Placed
6,83,6,1,11,52.0,99.32,Placed
7,40,8,7,8,74.0,100.0,Placed
6,42,6,5,15,75.0,91.86,Placed
6,42,5,10,3,90.0,65.34,Not Placed
6,76,5,7,19,89.0,100.0,Placed
3,58,4,9,17,92.0,100.0,Placed
6,68,7,8,0,84.0,83.85,Placed
8,64,5,6,6,65.0,90.45,Placed
11,72,5,2,19,56.0,100.0,Placed
11,75,6,8,11,45.0,100.0,Placed
2,100,6,4,7,82.0,100.0,Placed
5,68,5,8,7,50.0,73.03,Placed
1,97,4,7,8,38.0,69.08,Not Placed
1,65,6,4,13,55.0,65.75,Not Placed
5,43,5,8,19,75.0,100.0,Placed
3,88,7,11,4,79.0,82.56,Placed
4,53,6,11,19,59.0,70.5,Placed
3,89,5,11,20,54.0,91.62,Placed
1,66,8,2,1,42.0,60.17,Not Placed
1,72,6,9,20,77.0,89.42,Placed
5,61,8,6,9,87.0,100.0,Placed
6,87,6,7,8,43.0,82.43,Placed
3,42,6,10,6,52.0,52.57,Not Placed
9,62,9,1,17,65.0,100.0,Placed
5,60,9,3,11,86.0,99.8,Placed
8,80,8,10,10,69.0,96.12,Placed
1,62,4,5,9,89.0,84.8,Placed
5,43,5,7,12,64.0,72.37,Placed
3,60,4,1,8,52.0,67.99,Not Placed
1,76,4,9,15,53.0,62.9,Not Placed
4,82,9,5,20,75.0,100.0,Placed
5,70,5,3,16,58.0,100.0,Placed
7,60,9,7,4,84.0,80.79,Placed
1,65,9,10,5,56.0,63.37,Not Placed
3,80,9,8,9,82.0,89.39,Placed
2,97,7,10,10,48.0,78.09,Placed
9,74,4,10,1,53.0,75.2,Placed
10,77,4,3,6,94.0,100.0,Placed
6,63,4,7,13,63.0,90.03,Placed
10,50,7,7,3,56.0,93.39,Placed
3,80,6,4,4,64.0,92.24,Placed
8,68,8,10,18,49.0,84.33,Placed
8,86,8,9,20,55.0,100.0,Placed
2,94,7,1,19,60.0,91.56,Placed
6,99,4,1,9,70.0,94.75,Placed
7,42,8,5,5,46.0,66.98,Not Placed
2,40,7,3,1,41.0,45.38,Not Placed
11,91,9,10,2,45.0,100.0,Placed
10,100,5,9,14,92.0,100.0,Placed
2,93,8,5,9,73.0,92.06,Placed
10,58,5,7,16,54.0,100.0,Placed
1,85,4,1,6,69.0,64.38,Not Placed
8,88,8,2,1,38.0,80.72,Placed
1,61,7,11,6,36.0,46.5,Not Placed
9,53,6,4,14,54.0,83.68,Placed
11,88,8,9,2,81.0,100.0,Placed
6,96,8,5,4,54.0,90.46,Placed
7,98,8,5,7,46.0,100.0,Placed
10,53,8,9,3,87.0,98.45,Placed
7,83,7,8,17,51.0,100.0,Placed
10,55,7,2,18,52.0,100.0,Placed
3,72,6,7,7,74.0,82.88,Placed
2,52,7,1,5,58.0,80.07,Placed
9,77,7,10,4,42.0,61.88,Not Placed
8,88,4,11,4,71.0,94.26,Placed
10,51,4,11,16,90.0,100.0,Placed
7,94,5,9,5,75.0,81.85,Placed
9,90,6,3,12,64.0,100.0,Placed
4,77,4,2,8,54.0,79.28,Placed
4,78,6,4,11,86.0,100.0,Placed
1,72,6,4,9,57.0,62.84,Not Placed
8,72,8,3,0,71.0,81.82,Placed
3,68,9,2,10,93.0,100.0,Placed
7,44,9,5,5,44.0,78.99,Placed
2,45,9,4,2,67.0,70.51,Placed
2,70,6,5,5,58.0,72.57,Placed
7,55,8,8,8,70.0,100.0,Placed
6,70,5,11,7,90.0,95.04,Placed
3,64,5,2,14,50.0,63.48,Not Placed
9,87,9,9,5,84.0,100.0,Placed
10,85,5,10,10,62.0,100.0,Placed
6,72,8,1,9,46.0,100.0,Placed
10,52,9,8,10,54.0,100.0,Placed
10,91,8,5,3,81.0,100.0,Placed
6,49,5,2,12,52.0,71.63,Placed
1,63,9,8,7,71.0,54.4,Not Placed
4,49,8,5,19,92.0,100.0,Placed
10,80,7,10,14,60.0,100.0,Placed
6,70,7,10,6,80.0,82.52,Placed
6,52,8,3,0,90.0,95.68,Placed
11,42,8,7,8,93.0,88.26,Placed
5,98,4,4,7,41.0,74.86,Placed
1,89,4,11,1,77.0,34.97,Not Placed
8,91,6,11,13,81.0,100.0,Placed
5,73,9,10,11,55.0,82.93,Placed
5,88,6,6,16,77.0,100.0,Placed
7,67,6,10,18,66.0,89.28,Placed
4,58,5,8,5,41.0,56.33,Not Placed
6,62,7,1,20,87.0,100.0,Placed
4,84,5,2,4,57.0,76.38,Placed
3,71,9,8,5,54.0,66.92,Not Placed
7,52,8,7,2,54.0,73.27,Placed
8,72,4,10,15,66.0,91.98,Placed
4,73,9,9,17,60.0,98.3,Placed
2,72,8,2,13,70.0,100.0,Placed
10,95,9,8,14,93.0,100.0,Placed
3,44,8,6,3,58.0,81.78,Placed
1,95,4,1,10,35.0,69.09,Not Placed
8,42,8,4,4,92.0,100.0,Placed
3,100,6,2,8,87.0,90.8,Placed
10,99,9,7,4,62.0,100.0,Placed
7,46,4,9,6,60.0,68.9,Not Placed
10,63,8,6,17,68.0,100.0,Placed
5,61,6,4,17,60.0,87.32,Placed
10,84,6,5,19,70.0,100.0,Placed
5,100,7,11,1,39.0,80.74,Placed
7,62,6,1,12,90.0,100.0,Placed
9,69,5,4,12,36.0,97.66,Placed
5,99,4,10,16,66.0,87.52,Placed
1,57,4,3,16,68.0,81.56,Placed
10,71,4,9,5,84.0,93.27,Placed
10,95,8,6,13,64.0,100.0,Placed
1,92,9,4,20,58.0,89.01,Placed
2,46,8,3,13,62.0,77.3,Placed
6,72,5,4,11,80.0,93.9,Placed
9,44,9,8,4,37.0,81.28,Placed
8,88,6,5,4,87.0,100.0,Placed
5,67,8,11,3,84.0,83.78,Placed
1,100,9,1,12,88.0,100.0,Placed
7,47,6,5,3,44.0,69.72,Not Placed
5,54,9,8,17,40.0,76.29,Placed
6,91,6,11,15,68.0,100.0,Placed
7,43,9,4,17,65.0,89.29,Placed
3,73,8,2,1,86.0,100.0,Placed
10,44,8,3,3,77.0,100.0,Placed
3,72,5,11,19,84.0,76.87,Placed
5,96,7,9,16,80.0,100.0,Placed
6,44,4,7,19,92.0,100.0,Placed
9,77,8,3,5,86.0,100.0,Placed
5,73,8,5,17,47.0,82.71,Placed
1,97,6,3,19,95.0,94.52,Placed
4,65,7,10,6,93.0,87.15,Placed
5,40,8,4,12,73.0,92.33,Placed
10,43,9,8,8,87.0,100.0,Placed
10,78,7,3,1,92.0,100.0,Placed
5,93,4,3,7,54.0,73.6,Placed
7,65,9,11,13,66.0,100.0,Placed
4,72,6,11,17,44.0,79.04,Placed
1,72,5,8,0,60.0,42.55,Not Placed
5,47,9,10,8,53.0,80.36,Placed
7,59,4,10,8,63.0,58.39,Not Placed
10,55,9,7,1,95.0,100.0,Placed
10,60,7,7,15,47.0,98.58,Placed
6,84,7,10,3,88.0,85.88,Placed
5,94,4,2,12,68.0,100.0,Placed
4,95,7,7,16,54.0,99.99,Placed
2,65,9,10,10,78.0,68.42,Not Placed
4,62,5,11,1,74.0,63.01,Not Placed
10,57,9,10,3,52.0,89.57,Placed
10,70,5,3,11,91.0,100.0,Placed
3,91,7,7,1,68.0,64.0,Not Placed
10,81,9,4,0,82.0,100.0,Placed
1,51,7,8,5,42.0,55.01,Not Placed
8,40,5,8,15,50.0,91.44,Placed
5,81,7,6,1,74.0,75.07,Placed
4,48,8,3,13,57.0,83.52,Placed
8,42,6,6,19,66.0,82.22,Placed
7,99,9,6,11,47.0,100.0,Placed
2,90,8,3,18,60.0,92.38,Placed
1,65,7,11,2,72.0,50.9,Not Placed
11,48,7,4,18,35.0,95.45,Placed
4,81,6,2,10,36.0,87.91,Placed
8,90,7,1,3,73.0,100.0,Placed
2,55,6,2,16,47.0,71.2,Placed
3,63,9,7,16,61.0,77.52,Placed
1,89,5,10,6,38.0,53.1,Not Placed
1,53,6,5,4,75.0,58.61,Not Placed
3,100,6,9,18,85.0,100.0,Placed
11,42,8,3,20,54.0,100.0,Placed
5,73,7,2,18,37.0,93.27,Placed
3,72,9,4,8,57.0,88.3,Placed
1,89,5,2,16,36.0,60.94,Not Placed
1,63,4,11,8,50.0,46.59,Not Placed
8,48,6,7,13,44.0,89.02,Placed
10,52,4,10,4,62.0,78.12,Placed
11,41,7,6,1,78.0,98.61,Placed
2,46,6,8,14,52.0,68.22,Not Placed
3,87,4,5,15,36.0,85.79,Placed
2,60,8,2,18,48.0,83.06,Placed
3,58,4,4,0,78.0,43.47,Not Placed
7,64,8,1,11,54.0,84.62,Placed
1,86,5,2,18,90.0,100.0,Placed
10,61,7,4,19,90.0,100.0,Placed
8,50,9,6,14,90.0,100.0,Placed
10,72,4,4,4,74.0,98.87,Placed
10,71,6,4,0,57.0,84.82,Placed
10,60,7,11,10,88.0,100.0,Placed
2,78,4,10,8,94.0,71.53,Placed
3,59,6,10,6,41.0,52.31,Not Placed
9,47,6,2,1,79.0,94.02,Placed
7,81,9,9,16,81.0,100.0,Placed
4,76,9,10,15,48.0,83.22,Placed
10,48,6,8,15,71.0,100.0,Placed
5,64,9,8,13,42.0,92.59,Placed
2,64,6,5,1,84.0,81.69,Placed
11,72,4,3,18,39.0,100.0,Placed
8,41,5,6,2,57.0,67.69,Not Placed
4,58,9,9,7,75.0,80.46,Placed
9,85,8,8,20,44.0,100.0,Placed
5,59,8,7,18,83.0,100.0,Placed
9,81,8,11,15,61.0,100.0,Placed
4,80,5,8,3,91.0,82.36,Placed
10,81,6,4,7,69.0,100.0,Placed
5,68,6,6,0,35.0,65.59,Not Placed
9,45,7,5,3,41.0,95.16,Placed
8,56,8,2,6,81.0,96.72,Placed
3,99,8,8,0,85.0,85.44,Placed
1,64,6,3,17,42.0,71.99,Placed
3,77,8,5,3,45.0,59.16,Not Placed
4,43,6,8,19,68.0,79.8,Placed
2,69,6,11,13,86.0,77.34,Placed
1,59,9,9,7,62.0,79.93,Placed
7,42,6,9,17,68.0,100.0,Placed
8,62,4,5,6,77.0,83.47,Placed
7,90,4,2,2,54.0,90.65,Placed
5,57,4,7,20,62.0,81.79,Placed
1,65,4,11,13,83.0,64.74,Not Placed
7,95,5,11,11,95.0,100.0,Placed
7,75,7,7,14,76.0,100.0,Placed
9,47,7,8,7,71.0,74.46,Placed
3,56,6,8,4,37.0,52.31,Not Placed
9,70,8,5,16,43.0,100.0,Placed
1,76,4,1,9,86.0,78.75,Placed
1,84,7,11,10,56.0,68.81,Not Placed
4,96,7,4,15,59.0,96.04,Placed
9,72,4,4,15,36.0,100.0,Placed
6,66,5,11,3,57.0,64.48,Not Placed
11,84,5,3,4,85.0,100.0,Placed
3,43,7,8,9,51.0,73.05,Placed
1,61,5,3,13,91.0,93.05,Placed
4,65,9,5,8,59.0,81.26,Placed
9,71,4,2,17,46.0,84.23,Placed
3,63,7,6,19,61.0,95.5,Placed
9,85,4,6,5,54.0,76.94,Placed
7,74,5,8,10,43.0,87.42,Placed
4,76,4,8,20,57.0,93.83,Placed
3,71,5,1,16,70.0,92.03,Placed
10,46,5,5,8,62.0,95.27,Placed
5,72,4,2,2,84.0,98.35,Placed
5,70,5,10,15,82.0,100.0,Placed
3,94,9,5,19,63.0,100.0,Placed
9,100,6,10,3,87.0,86.4,Placed
4,51,4,9,14,90.0,100.0,Placed
11,50,6,4,1,76.0,82.32,Placed
5,63,4,8,19,92.0,100.0,Placed
4,47,5,1,16,88.0,97.37,Placed
5,71,5,8,18,66.0,99.45,Placed
7,96,7,6,19,46.0,100.0,Placed
9,77,9,8,15,64.0,100.0,Placed
7,99,7,6,18,94.0,100.0,Placed
5,61,6,11,20,45.0,87.95,Placed
10,73,5,3,16,71.0,100.0,Placed
10,58,7,11,3,54.0,77.46,Placed
7,91,5,8,17,45.0,97.08,Placed
10,59,4,5,3,82.0,100.0,Placed
5,95,7,10,20,81.0,100.0,Placed
3,53,6,5,2,72.0,76.51,Placed
7,72,7,7,17,79.0,100.0,Placed
11,49,5,6,20,50.0,100.0,Placed
11,55,8,9,19,93.0,100.0,Placed
2,43,8,7,4,69.0,62.88,Not Placed
9,66,9,3,8,84.0,100.0,Placed
10,67,5,11,14,35.0,92.22,Placed
10,100,4,11,8,59.0,83.98,Placed
1,82,7,5,13,83.0,84.08,Placed
6,55,8,9,20,61.0,100.0,Placed
7,98,4,11,1,86.0,88.7,Placed
8,91,5,10,17,66.0,100.0,Placed
10,72,4,2,12,40.0,83.96,Placed
9,87,5,1,20,75.0,100.0,Placed
2,58,9,11,15,70.0,78.15,Placed
11,60,7,8,5,73.0,100.0,Placed
10,61,4,8,15,57.0,100.0,Placed
2,48,7,2,3,63.0,60.62,Not Placed
5,48,4,8,9,64.0,68.05,Not Placed
5,48,5,5,18,56.0,81.4,Placed
6,66,5,2,10,91.0,100.0,Placed
3,56,4,7,4,45.0,61.74,Not Placed
8,83,9,7,17,60.0,100.0,Placed
1,96,5,3,2,57.0,45.38,Not Placed
6,84,6,1,7,37.0,87.39,Placed
4,47,6,11,10,82.0,88.46,Placed
1,55,7,4,20,40.0,78.76,Placed
7,57,6,2,18,41.0,88.19,Placed
9,100,6,4,20,78.0,100.0,Placed
4,98,9,8,2,73.0,86.56,Placed
4,72,9,2,11,95.0,100.0,Placed
6,40,8,1,14,88.0,98.32,Placed
3,51,8,11,15,85.0,100.0,Placed
6,45,9,3,4,56.0,76.17,Placed
7,80,8,10,18,82.0,100.0,Placed
11,94,9,7,5,84.0,100.0,Placed
10,44,8,6,11,76.0,94.96,Placed
10,98,5,6,18,95.0,100.0,Placed
3,55,9,7,8,67.0,81.56,Placed
7,57,7,8,17,74.0,100.0,Placed
3,88,7,3,2,37.0,56.75,Not Placed
2,57,9,3,13,64.0,82.71,Placed
10,40,6,10,20,82.0,100.0,Placed
4,58,7,8,4,58.0,63.17,Not Placed
8,93,6,7,4,37.0,76.75,Placed
9,100,7,10,3,36.0,93.94,Placed
7,47,4,5,15,78.0,87.31,Placed
1,42,4,4,12,74.0,69.74,Not Placed
3,97,9,6,7,53.0,87.72,Placed
9,64,7,9,20,58.0,100.0,Placed
1,97,5,6,15,84.0,96.31,Placed
9,44,6,8,1,54.0,65.19,Not Placed
8,94,7,1,7,91.0,100.0,Placed
1,79,9,6,2,81.0,71.38,Placed
